Workload,QueryType,QueryPath,Runtime
human,Chain,Experiments/Data/Subgraph_Queries/human/Chain_3/uf_Q_1_1.txt,0.139944259
human,Chain,Experiments/Data/Subgraph_Queries/human/Chain_3/uf_Q_1_2.txt,3.120128619
human,Chain,Experiments/Data/Subgraph_Queries/human/Chain_3/uf_Q_1_3.txt,0.043255353
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_0_1.txt,0.034172625
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_0_2.txt,0.033613057
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_0_3.txt,0.036314109
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_0_4.txt,0.034636953
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_0_5.txt,0.036465883
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_0_6.txt,0.034021009
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_1_1.txt,0.036510091
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_1_2.txt,0.034081688
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_1_3.txt,0.036073024
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_1_4.txt,0.035381491
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_2_1.txt,0.047995746
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_2_2.txt,0.040410151
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_2_3.txt,0.038802892
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_2_4.txt,0.038524351
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_2_5.txt,0.035950187
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_2_6.txt,0.038095633
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_3_1.txt,0.040084071
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_3_2.txt,0.039631852
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_3_3.txt,0.037812373
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_3_4.txt,0.039831623
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_3_5.txt,0.038039261
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_3_6.txt,0.037745907
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_3_7.txt,0.040354131
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_3_8.txt,0.038984059
human,Graph,Experiments/Data/Subgraph_Queries/human/Graph_3/uf_Q_3_9.txt,0.035998905
human,Star,Experiments/Data/Subgraph_Queries/human/Star_3/uf_Q_0_1.txt,0.07227308
human,Star,Experiments/Data/Subgraph_Queries/human/Star_3/uf_Q_0_2.txt,0.070107944
human,Star,Experiments/Data/Subgraph_Queries/human/Star_3/uf_Q_1_1.txt,0.037784671
human,Star,Experiments/Data/Subgraph_Queries/human/Star_3/uf_Q_1_2.txt,0.090448607
human,Star,Experiments/Data/Subgraph_Queries/human/Star_3/uf_Q_1_3.txt,0.098308333
human,Star,Experiments/Data/Subgraph_Queries/human/Star_3/uf_Q_1_4.txt,0.005081738
human,Star,Experiments/Data/Subgraph_Queries/human/Star_3/uf_Q_1_5.txt,0.076808349
human,Star,Experiments/Data/Subgraph_Queries/human/Star_3/uf_Q_1_6.txt,0.005177719
human,Star,Experiments/Data/Subgraph_Queries/human/Star_3/uf_Q_2_1.txt,0.052592222
human,Star,Experiments/Data/Subgraph_Queries/human/Star_3/uf_Q_2_2.txt,0.004789628
human,Star,Experiments/Data/Subgraph_Queries/human/Star_3/uf_Q_2_3.txt,0.003446855
human,Tree,Experiments/Data/Subgraph_Queries/human/Tree_3/uf_Q_0_1.txt,0.076959221
human,Tree,Experiments/Data/Subgraph_Queries/human/Tree_3/uf_Q_0_2.txt,0.046533049
human,Tree,Experiments/Data/Subgraph_Queries/human/Tree_3/uf_Q_0_3.txt,0.08067611
human,Tree,Experiments/Data/Subgraph_Queries/human/Tree_3/uf_Q_1_1.txt,0.003504617
human,Tree,Experiments/Data/Subgraph_Queries/human/Tree_3/uf_Q_2_1.txt,0.039924682
human,Tree,Experiments/Data/Subgraph_Queries/human/Tree_3/uf_Q_2_2.txt,0.043582473
human,Tree,Experiments/Data/Subgraph_Queries/human/Tree_3/uf_Q_2_3.txt,0.073604437
human,Tree,Experiments/Data/Subgraph_Queries/human/Tree_3/uf_Q_2_4.txt,0.625818638
human,Tree,Experiments/Data/Subgraph_Queries/human/Tree_3/uf_Q_3_1.txt,0.073986136
human,Tree,Experiments/Data/Subgraph_Queries/human/Tree_3/uf_Q_3_2.txt,0.006684031
